,Baclaran,EDSA,Libertad,Gil Puyat,Vito Cruz,Quirino,Pedro Gil,UN Ave.,Central,Carriedo,Doroteo Jose,Bambang,Tayuman,Blumentritt,Abad Santos,R. Papa,5th Avenue,Monumento,Balintawak,Roosevelt
Baclaran,0,12,13,13,14,15,16,17,18,19,19,20,21,21,22,23,24,25,27,29
EDSA,12,0,12,13,14,15,15,16,17,18,19,19,20,21,22,22,23,24,27,29
Libertad,13,12,0,12,13,14,14,15,16,17,18,18,19,20,21,21,22,23,26,28
Gil Puyat,13,13,12,0,12,13,14,14,16,16,17,18,18,19,20,21,22,23,25,27
Vito Cruz,14,14,13,12,0,12,13,13,15,15,16,17,17,18,19,20,21,22,24,26
Quirino,15,15,14,13,12,0,12,13,14,14,15,16,16,17,18,19,20,21,23,25
Pedro Gil,16,15,14,14,13,12,0,12,13,14,14,15,16,16,17,18,19,20,22,24
UN Ave.,17,16,15,14,13,13,12,0,12,13,14,14,15,16,17,17,18,19,22,23
Central,18,17,16,16,15,14,13,12,0,12,12,13,14,14,15,16,17,18,20,22
Carriedo,19,18,17,16,15,14,14,13,12,0,12,12,13,14,15,15,16,17,20,22
Doroteo Jose,19,19,18,17,16,15,14,14,12,12,0,12,12,13,14,15,15,17,19,21
Bambang,20,19,18,18,17,16,15,14,13,12,12,0,12,12,13,14,15,16,18,20
Tayuman,21,20,19,18,17,16,16,15,14,13,12,12,0,12,13,13,14,15,18,20
Blumentritt,21,21,20,19,18,17,16,16,14,14,13,12,12,0,12,13,14,15,17,19
Abad Santos,22,22,21,20,19,18,17,17,15,15,14,13,13,12,0,12,13,14,16,18
R. Papa,23,22,21,21,20,19,18,17,16,15,15,14,13,13,12,0,12,13,15,17
5th Avenue,24,23,22,22,21,20,19,18,17,16,15,15,14,14,13,12,0,12,15,16
Monumento,25,24,23,23,22,21,20,19,18,17,17,16,15,15,14,13,12,0,13,15
Balintawak,27,27,26,25,24,23,22,22,20,20,19,18,18,17,16,15,15,13,0,13
Roosevelt,29,29,28,27,26,25,24,23,22,22,21,20,20,19,18,17,16,15,13,0